[Sat Aug 16 17:33:10 GMT-03:00 2025] - Account: 3; Holder: MARIANA; Balance: 999990.0; [Operation: Withdraw of $10.0; Previous balance: $1000000.0]
[Sat Aug 16 17:48:33 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 961120.0; [Operation: Deposit of $120000.0; Previous balance: $841120.0]
[Sat Aug 16 17:48:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1081120.0; [Operation: Deposit of $120000.0; Previous balance: $961120.0]
[Sat Aug 16 17:48:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1201120.0; [Operation: Deposit of $120000.0; Previous balance: $1081120.0]
[Sat Aug 16 17:48:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1321120.0; [Operation: Deposit of $120000.0; Previous balance: $1201120.0]
[Sat Aug 16 17:48:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1441120.0; [Operation: Deposit of $120000.0; Previous balance: $1321120.0]
[Sat Aug 16 17:48:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1561120.0; [Operation: Deposit of $120000.0; Previous balance: $1441120.0]
[Sat Aug 16 17:48:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1681120.0; [Operation: Deposit of $120000.0; Previous balance: $1561120.0]
[Sat Aug 16 17:48:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1801120.0; [Operation: Deposit of $120000.0; Previous balance: $1681120.0]
[Sat Aug 16 17:48:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1921120.0; [Operation: Deposit of $120000.0; Previous balance: $1801120.0]
[Sat Aug 16 17:48:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2041120.0; [Operation: Deposit of $120000.0; Previous balance: $1921120.0]
[Sat Aug 16 17:48:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2161120.0; [Operation: Deposit of $120000.0; Previous balance: $2041120.0]
[Sat Aug 16 17:48:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2281120.0; [Operation: Deposit of $120000.0; Previous balance: $2161120.0]
[Sat Aug 16 17:48:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2401120.0; [Operation: Deposit of $120000.0; Previous balance: $2281120.0]
[Sat Aug 16 17:48:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2521120.0; [Operation: Deposit of $120000.0; Previous balance: $2401120.0]
[Sat Aug 16 17:48:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2641120.0; [Operation: Deposit of $120000.0; Previous balance: $2521120.0]
[Sat Aug 16 17:48:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2761120.0; [Operation: Deposit of $120000.0; Previous balance: $2641120.0]
[Sat Aug 16 17:48:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2881120.0; [Operation: Deposit of $120000.0; Previous balance: $2761120.0]
[Sat Aug 16 17:48:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3001120.0; [Operation: Deposit of $120000.0; Previous balance: $2881120.0]
[Sat Aug 16 17:48:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3121120.0; [Operation: Deposit of $120000.0; Previous balance: $3001120.0]
[Sat Aug 16 17:48:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3241120.0; [Operation: Deposit of $120000.0; Previous balance: $3121120.0]
[Sat Aug 16 17:48:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3361120.0; [Operation: Deposit of $120000.0; Previous balance: $3241120.0]
[Sat Aug 16 17:48:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3481120.0; [Operation: Deposit of $120000.0; Previous balance: $3361120.0]
[Sat Aug 16 17:48:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3601120.0; [Operation: Deposit of $120000.0; Previous balance: $3481120.0]
[Sat Aug 16 17:48:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3721120.0; [Operation: Deposit of $120000.0; Previous balance: $3601120.0]
[Sat Aug 16 17:48:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3841120.0; [Operation: Deposit of $120000.0; Previous balance: $3721120.0]
[Sat Aug 16 17:48:37 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3961120.0; [Operation: Deposit of $120000.0; Previous balance: $3841120.0]
[Sat Aug 16 17:48:38 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4081120.0; [Operation: Deposit of $120000.0; Previous balance: $3961120.0]
[Sat Aug 16 17:48:41 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.608112E7; [Operation: Deposit of $1.2E7; Previous balance: $4081120.0]
[Sat Aug 16 17:48:41 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.808112E7; [Operation: Deposit of $1.2E7; Previous balance: $1.608112E7]
[Sat Aug 16 17:48:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.008112E7; [Operation: Deposit of $1.2E7; Previous balance: $2.808112E7]
[Sat Aug 16 17:48:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.208112E7; [Operation: Deposit of $1.2E7; Previous balance: $4.008112E7]
[Sat Aug 16 17:48:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.408112E7; [Operation: Deposit of $1.2E7; Previous balance: $5.208112E7]
[Sat Aug 16 17:48:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.608112E7; [Operation: Deposit of $1.2E7; Previous balance: $6.408112E7]
[Sat Aug 16 17:48:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.808112E7; [Operation: Deposit of $1.2E7; Previous balance: $7.608112E7]
[Sat Aug 16 17:48:42 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.0008112E8; [Operation: Deposit of $1.2E7; Previous balance: $8.808112E7]
[Sat Aug 16 17:48:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.1208112E8; [Operation: Deposit of $1.2E7; Previous balance: $1.0008112E8]
[Sat Aug 16 17:48:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.2408112E8; [Operation: Deposit of $1.2E7; Previous balance: $1.1208112E8]
[Sat Aug 16 17:48:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.3608112E8; [Operation: Deposit of $1.2E7; Previous balance: $1.2408112E8]
[Sat Aug 16 17:48:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.4808112E8; [Operation: Deposit of $1.2E7; Previous balance: $1.3608112E8]
[Sat Aug 16 17:48:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.6008112E8; [Operation: Deposit of $1.2E7; Previous balance: $1.4808112E8]
[Sat Aug 16 17:48:43 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.7208112E8; [Operation: Deposit of $1.2E7; Previous balance: $1.6008112E8]
[Sat Aug 16 17:48:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.8408112E8; [Operation: Deposit of $1.2E7; Previous balance: $1.7208112E8]
[Sat Aug 16 17:48:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.9608112E8; [Operation: Deposit of $1.2E7; Previous balance: $1.8408112E8]
[Sat Aug 16 17:48:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.0808112E8; [Operation: Deposit of $1.2E7; Previous balance: $1.9608112E8]
[Sat Aug 16 17:48:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.2008112E8; [Operation: Deposit of $1.2E7; Previous balance: $2.0808112E8]
[Sat Aug 16 17:48:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.3208112E8; [Operation: Deposit of $1.2E7; Previous balance: $2.2008112E8]
[Sat Aug 16 17:48:44 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.4408112E8; [Operation: Deposit of $1.2E7; Previous balance: $2.3208112E8]
[Sat Aug 16 17:48:45 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.5608112E8; [Operation: Deposit of $1.2E7; Previous balance: $2.4408112E8]
[Sat Aug 16 17:48:45 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.6808112E8; [Operation: Deposit of $1.2E7; Previous balance: $2.5608112E8]
[Sat Aug 16 17:48:45 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.8008112E8; [Operation: Deposit of $1.2E7; Previous balance: $2.6808112E8]
[Sat Aug 16 17:48:45 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.9208112E8; [Operation: Deposit of $1.2E7; Previous balance: $2.8008112E8]
[Sat Aug 16 17:48:45 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3.0408112E8; [Operation: Deposit of $1.2E7; Previous balance: $2.9208112E8]
[Sat Aug 16 17:48:45 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3.1608112E8; [Operation: Deposit of $1.2E7; Previous balance: $3.0408112E8]
[Sat Aug 16 17:48:46 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3.2808112E8; [Operation: Deposit of $1.2E7; Previous balance: $3.1608112E8]
[Sat Aug 16 17:48:46 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3.4008112E8; [Operation: Deposit of $1.2E7; Previous balance: $3.2808112E8]
[Sat Aug 16 17:48:46 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3.5208112E8; [Operation: Deposit of $1.2E7; Previous balance: $3.4008112E8]
[Sat Aug 16 17:48:46 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3.6408112E8; [Operation: Deposit of $1.2E7; Previous balance: $3.5208112E8]
[Sat Aug 16 17:48:46 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3.7608112E8; [Operation: Deposit of $1.2E7; Previous balance: $3.6408112E8]
[Sat Aug 16 17:48:46 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3.8808112E8; [Operation: Deposit of $1.2E7; Previous balance: $3.7608112E8]
[Sat Aug 16 17:48:46 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.0008112E8; [Operation: Deposit of $1.2E7; Previous balance: $3.8808112E8]
[Sat Aug 16 17:48:46 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.1208112E8; [Operation: Deposit of $1.2E7; Previous balance: $4.0008112E8]
[Sat Aug 16 17:48:47 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.2408112E8; [Operation: Deposit of $1.2E7; Previous balance: $4.1208112E8]
[Sat Aug 16 17:48:47 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.3608112E8; [Operation: Deposit of $1.2E7; Previous balance: $4.2408112E8]
[Sat Aug 16 17:48:47 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.4808112E8; [Operation: Deposit of $1.2E7; Previous balance: $4.3608112E8]
[Sat Aug 16 17:48:47 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.6008112E8; [Operation: Deposit of $1.2E7; Previous balance: $4.4808112E8]
[Sat Aug 16 17:48:47 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.7208112E8; [Operation: Deposit of $1.2E7; Previous balance: $4.6008112E8]
[Sat Aug 16 17:48:47 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.8408112E8; [Operation: Deposit of $1.2E7; Previous balance: $4.7208112E8]
[Sat Aug 16 17:48:48 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.9608112E8; [Operation: Deposit of $1.2E7; Previous balance: $4.8408112E8]
[Sat Aug 16 17:48:48 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.0808112E8; [Operation: Deposit of $1.2E7; Previous balance: $4.9608112E8]
[Sat Aug 16 17:48:48 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.2008112E8; [Operation: Deposit of $1.2E7; Previous balance: $5.0808112E8]
[Sat Aug 16 17:48:48 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.3208112E8; [Operation: Deposit of $1.2E7; Previous balance: $5.2008112E8]
[Sat Aug 16 17:48:49 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.4408112E8; [Operation: Deposit of $1.2E7; Previous balance: $5.3208112E8]
[Sat Aug 16 17:48:49 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.5608112E8; [Operation: Deposit of $1.2E7; Previous balance: $5.4408112E8]
[Sat Aug 16 17:48:49 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.6808112E8; [Operation: Deposit of $1.2E7; Previous balance: $5.5608112E8]
[Sat Aug 16 17:48:56 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.20056808112E12; [Operation: Deposit of $1.2E12; Previous balance: $5.6808112E8]
[Sat Aug 16 17:48:56 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.40056808112E12; [Operation: Deposit of $1.2E12; Previous balance: $1.20056808112E12]
[Sat Aug 16 17:48:57 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3.60056808112E12; [Operation: Deposit of $1.2E12; Previous balance: $2.40056808112E12]
[Sat Aug 16 17:48:57 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.80056808112E12; [Operation: Deposit of $1.2E12; Previous balance: $3.60056808112E12]
[Sat Aug 16 17:48:58 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 6.00056808112E12; [Operation: Deposit of $1.2E12; Previous balance: $4.80056808112E12]
[Sat Aug 16 17:48:58 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.20056808112E12; [Operation: Deposit of $1.2E12; Previous balance: $6.00056808112E12]
[Sat Aug 16 17:48:58 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.40056808112E12; [Operation: Deposit of $1.2E12; Previous balance: $7.20056808112E12]
[Sat Aug 16 17:48:58 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.60056808112E12; [Operation: Deposit of $1.2E12; Previous balance: $8.40056808112E12]
[Sat Aug 16 17:48:58 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.080056808112E13; [Operation: Deposit of $1.2E12; Previous balance: $9.60056808112E12]
[Sat Aug 16 17:48:58 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.200056808112E13; [Operation: Deposit of $1.2E12; Previous balance: $1.080056808112E13]
[Sat Aug 16 17:48:59 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.320056808112E13; [Operation: Deposit of $1.2E12; Previous balance: $1.200056808112E13]
[Sat Aug 16 17:48:59 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.440056808112E13; [Operation: Deposit of $1.2E12; Previous balance: $1.320056808112E13]
[Sat Aug 16 17:49:00 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.560056808112E13; [Operation: Deposit of $1.2E12; Previous balance: $1.440056808112E13]
[Sat Aug 16 17:49:00 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.680056808112E13; [Operation: Deposit of $1.2E12; Previous balance: $1.560056808112E13]
[Sat Aug 16 17:49:02 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.800056808112E13; [Operation: Deposit of $1.2E12; Previous balance: $1.680056808112E13]
[Sat Aug 16 17:49:19 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.6787830063197E13; [Operation: Withdraw of $1.212738017923E12; Previous balance: $1.800056808112E13]
[Sat Aug 16 17:49:20 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.5575092045274E13; [Operation: Withdraw of $1.212738017923E12; Previous balance: $1.6787830063197E13]
[Sat Aug 16 17:49:21 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.4362354027351E13; [Operation: Withdraw of $1.212738017923E12; Previous balance: $1.5575092045274E13]
[Sat Aug 16 17:49:22 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.3149616009428E13; [Operation: Withdraw of $1.212738017923E12; Previous balance: $1.4362354027351E13]
[Sat Aug 16 17:49:22 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.1936877991505E13; [Operation: Withdraw of $1.212738017923E12; Previous balance: $1.3149616009428E13]
[Sat Aug 16 17:49:22 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.0724139973582E13; [Operation: Withdraw of $1.212738017923E12; Previous balance: $1.1936877991505E13]
[Sat Aug 16 17:49:22 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.511401955659E12; [Operation: Withdraw of $1.212738017923E12; Previous balance: $1.0724139973582E13]
[Sat Aug 16 17:49:22 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 8.298663937736E12; [Operation: Withdraw of $1.212738017923E12; Previous balance: $9.511401955659E12]
[Sat Aug 16 17:49:23 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 7.085925919813E12; [Operation: Withdraw of $1.212738017923E12; Previous balance: $8.298663937736E12]
[Sat Aug 16 17:49:23 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 5.87318790189E12; [Operation: Withdraw of $1.212738017923E12; Previous balance: $7.085925919813E12]
[Sat Aug 16 17:49:23 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 4.660449883967E12; [Operation: Withdraw of $1.212738017923E12; Previous balance: $5.87318790189E12]
[Sat Aug 16 17:49:23 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 3.447711866044E12; [Operation: Withdraw of $1.212738017923E12; Previous balance: $4.660449883967E12]
[Sat Aug 16 17:49:23 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 2.234973848121E12; [Operation: Withdraw of $1.212738017923E12; Previous balance: $3.447711866044E12]
[Sat Aug 16 17:49:23 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.022235830198E12; [Operation: Withdraw of $1.212738017923E12; Previous balance: $2.234973848121E12]
[Sat Aug 16 17:49:31 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.021023092181E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.022235830198E12]
[Sat Aug 16 17:49:32 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.019810354164E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.021023092181E12]
[Sat Aug 16 17:49:32 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.018597616147E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.019810354164E12]
[Sat Aug 16 17:49:32 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.01738487813E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.018597616147E12]
[Sat Aug 16 17:49:32 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.016172140113E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.01738487813E12]
[Sat Aug 16 17:49:32 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.014959402096E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.016172140113E12]
[Sat Aug 16 17:49:32 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.013746664079E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.014959402096E12]
[Sat Aug 16 17:49:33 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.012533926062E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.013746664079E12]
[Sat Aug 16 17:49:33 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.011321188045E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.012533926062E12]
[Sat Aug 16 17:49:33 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.010108450028E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.011321188045E12]
[Sat Aug 16 17:49:33 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.008895712011E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.010108450028E12]
[Sat Aug 16 17:49:33 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.007682973994E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.008895712011E12]
[Sat Aug 16 17:49:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.006470235977E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.007682973994E12]
[Sat Aug 16 17:49:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.00525749796E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.006470235977E12]
[Sat Aug 16 17:49:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.004044759943E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.00525749796E12]
[Sat Aug 16 17:49:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.002832021926E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.004044759943E12]
[Sat Aug 16 17:49:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.001619283909E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.002832021926E12]
[Sat Aug 16 17:49:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 1.000406545892E12; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.001619283909E12]
[Sat Aug 16 17:49:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.99193807875E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $1.000406545892E12]
[Sat Aug 16 17:49:34 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.97981069858E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.99193807875E11]
[Sat Aug 16 17:49:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.96768331841E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.97981069858E11]
[Sat Aug 16 17:49:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.95555593824E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.96768331841E11]
[Sat Aug 16 17:49:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.94342855807E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.95555593824E11]
[Sat Aug 16 17:49:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.9313011779E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.94342855807E11]
[Sat Aug 16 17:49:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.91917379773E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.9313011779E11]
[Sat Aug 16 17:49:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.90704641756E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.91917379773E11]
[Sat Aug 16 17:49:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.89491903739E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.90704641756E11]
[Sat Aug 16 17:49:35 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.88279165722E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.89491903739E11]
[Sat Aug 16 17:49:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.87066427705E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.88279165722E11]
[Sat Aug 16 17:49:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.85853689688E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.87066427705E11]
[Sat Aug 16 17:49:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.84640951671E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.85853689688E11]
[Sat Aug 16 17:49:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.83428213654E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.84640951671E11]
[Sat Aug 16 17:49:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.82215475637E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.83428213654E11]
[Sat Aug 16 17:49:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.8100273762E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.82215475637E11]
[Sat Aug 16 17:49:36 GMT-03:00 2025] - Account: 4; Holder: joao; Balance: 9.79789999603E11; [Operation: Withdraw of $1.212738017E9; Previous balance: $9.8100273762E11]
